ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
1,150,1,0.5,2,Avg (sec),0.011,0.002,0.063,0.063,0.044,0.072,0.011,0.002,0.002,0.061,0.028,0.002,0.06,0.064,0.003,0.062,0.024,0.021,0.002
1,150,1,0.5,2,SD (sec),0.066,0.002,0.236,0.233,0.188,0.248,0.06,0.002,0.002,0.23,0.148,0.002,0.229,0.235,0.008,0.231,0.134,0.125,0.002
1,150,1,0.5,2,Mix % (take failure into account),0.0132,0.0132,0.1128,0.096,0.2259,0.0261,0.0261,0.0303,0.0996,0.0303,0.1131,0.0261,0.0303,0.0435,0.0132,0.0303,0.0132,0.0132,0.0435
2,300,0.5,0.25,4,Avg (sec),0.008,0.002,0.014,0.017,16.504,9.274,0.008,0.002,0.001,0.014,0.009,0.001,0.014,0.017,0.003,0.014,0.012,0.007,0.002
2,300,0.5,0.25,4,SD (sec),0.028,0.001,0.1,0.109,30.901,18.947,0.028,0.002,0.002,0.095,0.064,0.001,0.098,0.109,0.007,0.091,0.08,0.039,0.002
2,300,0.5,0.25,4,Mix % (take failure into account),0.013,0.013,0.1132,0.0957,0.2254,0.0257,0.0259,0.0305,0.1001,0.0306,0.1133,0.0258,0.0307,0.0438,0.013,0.0305,0.013,0.013,0.0436
3,250,1,0.5,2,Avg (sec),0.056,0.002,0.432,0.426,0.317,0.53,0.058,0.002,0.002,0.439,0.207,0.002,0.423,0.428,0.003,0.427,0.207,0.208,0.002
3,250,1,0.5,2,SD (sec),0.215,0.004,0.494,0.493,0.462,0.62,0.218,0.005,0.004,0.495,0.401,0.004,0.493,0.493,0.008,0.493,0.401,0.402,0.004
3,250,1,0.5,2,Mix % (take failure into account),0.013,0.013,0.1131,0.0956,0.2261,0.0262,0.0262,0.0304,0.1002,0.0304,0.113,0.0262,0.0304,0.0434,0.013,0.0304,0.013,0.013,0.0434
4,50,0.5,0.5,2,Avg (sec),0.007,0.001,0.004,0.005,0.009,0.016,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
