ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
1,200,16,0.25,2,Avg (sec),0.007,0.002,0.004,0.005,5.608,4.451,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.006,0.001
1,200,16,0.25,2,SD (sec),0.007,0.002,0.002,0.008,3.849,3.352,0.008,0.001,0.002,0.007,0.008,0.002,0.002,0.007,0.008,0.008,0.007,0.008,0.001
1,200,16,0.25,2,Mix % (take failure into account),0.0127,0.0128,0.1135,0.095,0.2258,0.0261,0.026,0.0308,0.1008,0.0308,0.1129,0.026,0.0308,0.0435,0.0128,0.0308,0.0127,0.0127,0.0435
2,250,16,0.25,1,Avg (sec),0.055,0.002,0.417,0.416,0.324,0.518,0.055,0.002,0.002,0.414,0.202,0.002,0.411,0.421,0.003,0.417,0.192,0.199,0.002
2,250,16,0.25,1,SD (sec),0.212,0.004,0.492,0.491,0.462,0.608,0.213,0.004,0.004,0.491,0.397,0.004,0.491,0.492,0.007,0.492,0.389,0.395,0.003
2,250,16,0.25,1,Mix % (take failure into account),0.0131,0.0132,0.1127,0.096,0.2258,0.026,0.0261,0.0304,0.0996,0.0304,0.1132,0.0261,0.0303,0.0436,0.0132,0.0304,0.0132,0.0132,0.0436
3,250,16,0.5,1,Avg (sec),0.053,0.002,0.427,0.422,0.316,0.513,0.055,0.002,0.002,0.43,0.206,0.002,0.429,0.428,0.003,0.424,0.214,0.212,0.002
3,250,16,0.5,1,SD (sec),0.208,0.003,0.494,0.493,0.461,0.611,0.212,0.004,0.004,0.494,0.4,0.003,0.494,0.493,0.008,0.493,0.406,0.405,0.004
3,250,16,0.5,1,Mix % (take failure into account),0.0132,0.0132,0.1126,0.096,0.2259,0.0258,0.0258,0.0305,0.0994,0.0305,0.1133,0.0258,0.0305,0.0437,0.0132,0.0305,0.0132,0.0132,0.0437
4,50,8,0.5,1,Avg (sec),0.007,0.001,0.004,0.005,0.008,0.014,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.002,0.005,0.005,0.005,0.001
4,50,8,0.5,1,SD (sec),0.007,0.001,0.001,0.007,0.014,0.015,0.008,0.001,0.001,0.007,0.007,0.001,0.002,0.007,0.006,0.008,0.008,0.008,0.001
4,50,8,0.5,1,Mix % (take failure into account),0.0129,0.0129,0.1131,0.0954,0.2262,0.0259,0.026,0.0306,0.1002,0.0306,0.113,0.026,0.0306,0.0436,0.0129,0.0306,0.0129,0.0129,0.0435
5,150,8,0.5,1,Avg (sec),0.012,0.002,0.064,0.067,0.047,0.071,0.011,0.002,0.002,0.066,0.03,0.002,0.063,0.068,0.003,0.066,0.036,0.028,0.002
5,150,8,0.5,1,SD (sec),0.064,0.002,0.238,0.241,0.196,0.256,0.059,0.002,0.002,0.239,0.154,0.002,0.235,0.242,0.007,0.239,0.17,0.15,0.002
5,150,8,0.5,1,Mix % (take failure into account),0.013,0.013,0.113,0.0955,0.2261,0.0259,0.0259,0.0306,0.1,0.0306,0.1131,0.0259,0.0306,0.0436,0.013,0.0306,0.013,0.013,0.0436
6,300,8,0.5,2,Avg (sec),0.055,0.002,0.432,0.431,0.32,0.528,0.055,0.002,0.002,0.439,0.209,0.002,0.432,0.434,0.003,0.428,0.217,0.223,0.002
6,300,8,0.5,2,SD (sec),0.213,0.006,0.495,0.494,0.463,0.61,0.213,0.007,0.007,0.495,0.402,0.007,0.494,0.494,0.008,0.494,0.408,0.412,0.008
6,300,8,0.5,2,Mix % (take failure into account),0.013,0.013,0.1132,0.0956,0.2261,0.0262,0.0262,0.0304,0.1001,0.0304,0.1129,0.0262,0.0304,0.0434,0.013,0.0304,0.013,0.013,0.0434
7,300,16,0.25,2,Avg (sec),0.056,0.002,0.42,0.418,0.396,0.626,0.056,0.002,0.002,0.41,0.206,0.002,0.414,0.417,0.003,0.412,0.199,0.198,0.002
7,300,16,0.25,2,SD (sec),0.213,0.005,0.492,0.492,0.62,0.804,0.215,0.006,0.007,0.49,0.399,0.006,0.491,0.492,0.008,0.491,0.394,0.393,0.006
7,300,16,0.25,2,Mix % (take failure into account),0.013,0.0131,0.113,0.0957,0.226,0.0262,0.0261,0.0304,0.1,0.0304,0.1131,0.0261,0.0304,0.0436,0.0131,0.0304,0.013,0.013,0.0436
8,100,8,0.5,2,Avg (sec),0.007,0.002,0.004,0.005,0.008,0.013,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
8,100,8,0.5,2,SD (sec),0.007,0.002,0.002,0.008,0.013,0.013,0.009,0.002,0.002,0.007,0.008,0.002,0.002,0.008,0.008,0.008,0.008,0.008,0.002
8,100,8,0.5,2,Mix % (take failure into account),0.0129,0.0129,0.1132,0.0954,0.2262,0.0261,0.0261,0.0305,0.1003,0.0305,0.113,0.0262,0.0305,0.0434,0.0129,0.0305,0.0129,0.0129,0.0434
