ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
1,200,1,0.25,4,Avg (sec),0.046,0.002,0.354,0.354,0.99,0.971,0.05,0.002,0.002,0.358,0.174,0.002,0.353,0.351,0.003,0.352,0.175,0.185,0.002
1,200,1,0.25,4,SD (sec),0.192,0.003,0.476,0.476,4.141,3.788,0.202,0.003,0.003,0.478,0.374,0.002,0.476,0.475,0.008,0.475,0.375,0.383,0.003
1,200,1,0.25,4,Mix % (take failure into account),0.0132,0.0132,0.1127,0.0961,0.2259,0.026,0.0261,0.0303,0.0995,0.0303,0.1132,0.0261,0.0303,0.0435,0.0132,0.0303,0.0132,0.0132,0.0435
2,100,0.5,0.25,2,Avg (sec),0.008,0.002,0.004,0.006,0.015,0.022,0.008,0.002,0.002,0.005,0.005,0.002,0.004,0.005,0.003,0.006,0.005,0.006,0.002
2,100,0.5,0.25,2,SD (sec),0.008,0.002,0.003,0.008,0.027,0.032,0.008,0.002,0.002,0.008,0.008,0.002,0.003,0.008,0.008,0.008,0.007,0.009,0.002
2,100,0.5,0.25,2,Mix % (take failure into account),0.0129,0.0128,0.1134,0.0952,0.2262,0.026,0.0261,0.0306,0.1006,0.0306,0.1129,0.0261,0.0306,0.0434,0.0128,0.0306,0.0128,0.0128,0.0434
3,250,1,0.5,2,Avg (sec),0.056,0.002,0.429,0.429,0.319,0.532,0.055,0.002,0.002,0.43,0.208,0.002,0.427,0.426,0.003,0.431,0.211,0.199,0.002
3,250,1,0.5,2,SD (sec),0.214,0.006,0.494,0.494,0.463,0.614,0.211,0.004,0.005,0.494,0.401,0.004,0.494,0.493,0.007,0.494,0.404,0.394,0.004
3,250,1,0.5,2,Mix % (take failure into account),0.0131,0.0131,0.113,0.0959,0.226,0.0262,0.0262,0.0303,0.0999,0.0303,0.1131,0.0262,0.0303,0.0434,0.0131,0.0303,0.0131,0.0131,0.0434
4,50,0.5,0.25,4,Avg (sec),0.008,0.002,0.004,0.005,0.023,0.052,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
