"date";"requests"
2016-07-01 00:00:00;380230
2016-07-01 01:00:00;370041
2016-07-01 02:00:00;393110
2016-07-01 03:00:00;274078
2016-07-01 04:00:00;277235
2016-07-01 05:00:00;360800
2016-07-01 06:00:00;561810
2016-07-01 07:00:00;867020
2016-07-01 08:00:00;1073797
2016-07-01 09:00:00;1269654
2016-07-01 10:00:00;1338561
2016-07-01 11:00:00;1274496
2016-07-01 12:00:00;1255796
2016-07-01 13:00:00;1252274
2016-07-01 14:00:00;1181341
2016-07-01 15:00:00;1038299
2016-07-01 16:00:00;929645
2016-07-01 17:00:00;858573
2016-07-01 18:00:00;804499
2016-07-01 19:00:00;850876
2016-07-01 20:00:00;860334
2016-07-01 21:00:00;833245
2016-07-01 22:00:00;773523
2016-07-01 23:00:00;604331
2016-07-02 00:00:00;456418
2016-07-02 01:00:00;368172
2016-07-02 02:00:00;297598
2016-07-02 03:00:00;329207
2016-07-02 04:00:00;252452
2016-07-02 05:00:00;291846
2016-07-02 06:00:00;341130
2016-07-02 07:00:00;461210
2016-07-02 08:00:00;587914
2016-07-02 09:00:00;767483
2016-07-02 10:00:00;877242
2016-07-02 11:00:00;932284
2016-07-02 12:00:00;920939
2016-07-02 13:00:00;972102
2016-07-02 14:00:00;979242
2016-07-02 15:00:00;999011
2016-07-02 16:00:00;1018327
2016-07-02 17:00:00;982853
2016-07-02 18:00:00;935107
2016-07-02 19:00:00;884814
2016-07-02 20:00:00;721639
2016-07-02 21:00:00;688246
2016-07-02 22:00:00;580986
2016-07-02 23:00:00;658482
2016-07-03 00:00:00;498850
2016-07-03 01:00:00;449498
2016-07-03 02:00:00;306455
2016-07-03 03:00:00;278369
2016-07-03 04:00:00;284072
2016-07-03 05:00:00;316343
2016-07-03 06:00:00;349895
2016-07-03 07:00:00;470750
2016-07-03 08:00:00;625016
2016-07-03 09:00:00;831376
2016-07-03 10:00:00;983566
2016-07-03 11:00:00;1024255
2016-07-03 12:00:00;1042881
2016-07-03 13:00:00;1067461
2016-07-03 14:00:00;1060673
2016-07-03 15:00:00;1070208
2016-07-03 16:00:00;1083788
2016-07-03 17:00:00;1101545
2016-07-03 18:00:00;1159787
2016-07-03 19:00:00;1242189
2016-07-03 20:00:00;1156630
2016-07-03 21:00:00;1096561
2016-07-03 22:00:00;914661
2016-07-03 23:00:00;659441
2016-07-04 00:00:00;409991
2016-07-04 01:00:00;364771
2016-07-04 02:00:00;237993
2016-07-04 03:00:00;267642
2016-07-04 04:00:00;277859
2016-07-04 05:00:00;400249
2016-07-04 06:00:00;577039
2016-07-04 07:00:00;943279
2016-07-04 08:00:00;1206578
2016-07-04 09:00:00;1441986
2016-07-04 10:00:00;1592744
2016-07-04 11:00:00;1633126
2016-07-04 12:00:00;1527823
2016-07-04 13:00:00;1627266
2016-07-04 14:00:00;1597331
2016-07-04 15:00:00;1443151
2016-07-04 16:00:00;1205078
2016-07-04 17:00:00;1060959
2016-07-04 18:00:00;1038237
2016-07-04 19:00:00;1090027
2016-07-04 20:00:00;1139308
2016-07-04 21:00:00;1098691
2016-07-04 22:00:00;876937
2016-07-04 23:00:00;645003
2016-07-05 00:00:00;452350
2016-07-05 01:00:00;412126
2016-07-05 02:00:00;322746
2016-07-05 03:00:00;292469
2016-07-05 04:00:00;286239
2016-07-05 05:00:00;402151
