ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
1,50,1,0.5,4,Avg (sec),0.008,0.001,0.004,0.005,0.014,0.022,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
1,50,1,0.5,4,SD (sec),0.008,0.001,0.002,0.007,0.022,0.024,0.008,0.001,0.001,0.008,0.008,0.002,0.001,0.008,0.007,0.008,0.008,0.007,0.002
1,50,1,0.5,4,Mix % (take failure into account),0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
2,300,1,0.5,4,Avg (sec),0.062,0.003,0.433,0.43,0.323,0.526,0.056,0.003,0.003,0.432,0.21,0.003,0.438,0.429,0.003,0.435,0.209,0.213,0.003
2,300,1,0.5,4,SD (sec),0.224,0.008,0.494,0.494,0.464,0.611,0.212,0.007,0.007,0.494,0.402,0.007,0.495,0.493,0.008,0.494,0.401,0.404,0.007
2,300,1,0.5,4,Mix % (take failure into account),0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
3,300,1,0.25,1,Avg (sec),0.058,0.003,0.422,0.42,0.321,0.532,0.057,0.003,0.003,0.423,0.204,0.003,0.425,0.431,0.003,0.426,0.21,0.215,0.003
3,300,1,0.25,1,SD (sec),0.217,0.007,0.493,0.492,0.46,0.613,0.214,0.007,0.007,0.493,0.398,0.008,0.493,0.494,0.008,0.493,0.402,0.406,0.008
3,300,1,0.25,1,Mix % (take failure into account),0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132
4,300,0.5,0.5,1,Avg (sec),0.237,0.134,0.601,0.604,0.486,0.785,0.235,0.125,0.125,0.605,0.382,0.124,0.603,0.6,0.051,0.591,0.371,0.375,0.125
4,300,0.5,0.5,1,SD (sec),0.261,0.11,0.517,0.517,0.478,0.642,0.257,0.103,0.104,0.521,0.422,0.102,0.518,0.518,0.043,0.516,0.416,0.417,0.103
4,300,0.5,0.5,1,Mix % (take failure into account),0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129
5,200,0.5,0.5,2,Avg (sec),0.055,0.002,0.424,0.425,0.316,0.522,0.056,0.002,0.002,0.426,0.205,0.002,0.418,0.422,0.003,0.421,0.201,0.208,0.002
5,200,0.5,0.5,2,SD (sec),0.213,0.002,0.493,0.493,0.462,0.623,0.215,0.003,0.003,0.493,0.4,0.003,0.492,0.492,0.007,0.492,0.396,0.401,0.003
5,200,0.5,0.5,2,Mix % (take failure into account),0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
6,50,0.5,0.5,1,Avg (sec),0.008,0.001,0.004,0.005,0.009,0.016,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.006,0.005,0.005,0.001
6,50,0.5,0.5,1,SD (sec),0.008,0.001,0.003,0.008,0.016,0.017,0.008,0.001,0.002,0.007,0.007,0.002,0.002,0.008,0.007,0.008,0.007,0.007,0.001
6,50,0.5,0.5,1,Mix % (take failure into account),0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
7,150,0.5,0.5,2,Avg (sec),0.014,0.002,0.066,0.069,0.049,0.078,0.012,0.002,0.002,0.066,0.028,0.002,0.067,0.068,0.003,0.074,0.032,0.029,0.002
7,150,0.5,0.5,2,SD (sec),0.079,0.002,0.241,0.244,0.2,0.26,0.07,0.003,0.002,0.239,0.149,0.002,0.242,0.241,0.007,0.253,0.162,0.151,0.002
7,150,0.5,0.5,2,Mix % (take failure into account),0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128
8,200,1,0.25,2,Avg (sec),0.056,0.002,0.419,0.424,0.316,0.504,0.054,0.002,0.002,0.428,0.203,0.002,0.424,0.424,0.003,0.426,0.216,0.206,0.002
8,200,1,0.25,2,SD (sec),0.214,0.004,0.492,0.493,0.461,0.598,0.209,0.003,0.003,0.494,0.397,0.004,0.493,0.493,0.007,0.493,0.407,0.4,0.003
8,200,1,0.25,2,Mix % (take failure into account),0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128
9,250,0.5,0.5,4,Avg (sec),0.06,0.002,0.426,0.431,0.32,0.522,0.055,0.002,0.002,0.43,0.208,0.002,0.44,0.431,0.003,0.425,0.205,0.213,0.002
9,250,0.5,0.5,4,SD (sec),0.221,0.004,0.493,0.494,0.463,0.614,0.211,0.004,0.004,0.494,0.401,0.005,0.495,0.494,0.008,0.493,0.399,0.405,0.004
9,250,0.5,0.5,4,Mix % (take failure into account),0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132
