from;to;fields
geo;recommendation;lat,lon
recommendation;search;lat,lon
profile;recommendation;lat,lon
attractions;rate;hotelId
attractions;reservation;hotelId
attractions;review;hotelId
geo;rate;hotelIds
rate;reservation;hotelId,inDate,outDate
rate;search;hotelIds,inDate,outDate
profile;rate;hotelIds
rate;review;hotelId
geo;search;hotelIds,lat,lon
geo;profile;hotelIds,lat,lon
reservation;search;inDate,outDate
reservation;review;hotelId
profile;search;city,hotelIds,lat,lon
profile;review;default,description,images,name,url
