microservice;source;entity
ts-assurance-service;assurance.entity.Assurance;AssuranceType
ts-assurance-service;assurance.repository.AssuranceRepository;Assurance
ts-assurance-service;assurance.service.AssuranceServiceImpl;Assurance
ts-assurance-service;assurance.service.AssuranceServiceImpl;AssuranceType
ts-assurance-service;assurance.service.AssuranceServiceImpl;AssuranceTypeBean
ts-assurance-service;assurance.service.AssuranceServiceImpl;PlainAssurance
ts-basic-service;fdse.microservice.controller.BasicController;Travel
ts-basic-service;fdse.microservice.entity.Travel;Trip
ts-basic-service;fdse.microservice.entity.TravelResult;TrainType
ts-basic-service;fdse.microservice.entity.Trip;TripId
ts-basic-service;fdse.microservice.entity.TripId;Type
ts-basic-service;fdse.microservice.service.BasicService;Travel
ts-basic-service;fdse.microservice.service.BasicServiceImpl;PriceConfig
ts-basic-service;fdse.microservice.service.BasicServiceImpl;Route
ts-basic-service;fdse.microservice.service.BasicServiceImpl;TrainType
ts-basic-service;fdse.microservice.service.BasicServiceImpl;Travel
ts-basic-service;fdse.microservice.service.BasicServiceImpl;TravelResult
ts-basic-service;fdse.microservice.service.BasicServiceImpl;Trip
ts-cancel-service;cancel.entity.Account;DocumentType
ts-cancel-service;cancel.entity.Account;Gender
ts-cancel-service;cancel.entity.GetAccountByIdResult;Account
ts-cancel-service;cancel.entity.Order;OrderStatus
ts-cancel-service;cancel.entity.Order;SeatClass
ts-cancel-service;cancel.entity.User;User$UserBuilder
ts-cancel-service;cancel.entity.User;User
ts-cancel-service;cancel.service.CancelServiceImpl;NotifyInfo
ts-cancel-service;cancel.service.CancelServiceImpl;Order
ts-cancel-service;cancel.service.CancelServiceImpl;OrderStatus
ts-cancel-service;cancel.service.CancelServiceImpl;SeatClass
ts-cancel-service;cancel.service.CancelServiceImpl;User
ts-cancel-service;cancel.service.CancelServiceImpl;User
ts-cancel-service;cancel.service.CancelServiceImpl;Order
ts-cancel-service;cancel.service.CancelServiceImpl;Order
ts-config-service;config.controller.ConfigController;Config
ts-config-service;config.init.InitData;Config
ts-config-service;config.repository.ConfigRepository;Config
ts-config-service;config.service.ConfigService;Config
ts-config-service;config.service.ConfigServiceImpl;Config
ts-consign-price-service;consignprice.controller.ConsignPriceController;ConsignPrice
ts-consign-price-service;consignprice.init.InitData;ConsignPrice
ts-consign-price-service;consignprice.repository.ConsignPriceConfigRepository;ConsignPrice
ts-consign-price-service;consignprice.service.ConsignPriceService;ConsignPrice
ts-consign-price-service;consignprice.service.ConsignPriceServiceImpl;ConsignPrice
ts-consign-service;consign.controller.ConsignController;Consign
ts-consign-service;consign.repository.ConsignRepository;ConsignRecord
ts-consign-service;consign.service.ConsignService;Consign
ts-consign-service;consign.service.ConsignServiceImpl;Consign
ts-consign-service;consign.service.ConsignServiceImpl;ConsignRecord
ts-consign-service;consign.service.ConsignServiceImpl;Consign
ts-consign-service;consign.service.ConsignServiceImpl;Consign
ts-contacts-service;contacts.controller.ContactsController;Contacts
ts-contacts-service;contacts.init.InitData;Contacts
ts-contacts-service;contacts.init.InitData;DocumentType
ts-contacts-service;contacts.repository.ContactsRepository;Contacts
ts-contacts-service;contacts.service.ContactsService;Contacts
ts-contacts-service;contacts.service.ContactsServiceImpl;Contacts
ts-execute-service;execute.entity.Order;OrderStatus
ts-execute-service;execute.entity.Order;SeatClass
ts-execute-service;execute.serivce.ExecuteServiceImpl;Order
ts-execute-service;execute.serivce.ExecuteServiceImpl;OrderStatus
ts-execute-service;execute.serivce.ExecuteServiceImpl;Order
ts-execute-service;execute.serivce.ExecuteServiceImpl;Order
ts-food-map-service;food.entity.FoodStore;Food
ts-food-map-service;food.entity.TrainFood;Food
ts-food-map-service;food.init.InitData;Food
ts-food-map-service;food.init.InitData;FoodStore
ts-food-map-service;food.init.InitData;TrainFood
ts-food-map-service;food.repository.FoodStoreRepository;FoodStore
ts-food-map-service;food.repository.TrainFoodRepository;TrainFood
ts-food-map-service;food.service.FoodMapService;FoodStore
ts-food-map-service;food.service.FoodMapService;TrainFood
ts-food-map-service;food.service.FoodMapServiceImpl;FoodStore
ts-food-map-service;food.service.FoodMapServiceImpl;TrainFood
ts-food-service;foodsearch.controller.FoodController;FoodOrder
ts-food-service;foodsearch.entity.AllTripFood;FoodStore
ts-food-service;foodsearch.entity.AllTripFood;TrainFood
ts-food-service;foodsearch.entity.FoodStore;Food
ts-food-service;foodsearch.entity.TrainFood;Food
ts-food-service;foodsearch.repository.FoodOrderRepository;FoodOrder
ts-food-service;foodsearch.service.FoodService;FoodOrder
ts-food-service;foodsearch.service.FoodServiceImpl;AllTripFood
ts-food-service;foodsearch.service.FoodServiceImpl;FoodOrder
ts-food-service;foodsearch.service.FoodServiceImpl;FoodStore
ts-food-service;foodsearch.service.FoodServiceImpl;Route
ts-food-service;foodsearch.service.FoodServiceImpl;TrainFood
ts-food-service;foodsearch.service.FoodServiceImpl;Route
ts-food-service;foodsearch.service.FoodServiceImpl;FoodStore
ts-inside-payment-service;inside_payment.async.AsyncTask;OutsidePaymentInfo
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;AccountInfo
ts-inside-payment-service;inside_payment.controller.InsidePaymentController;PaymentInfo
ts-inside-payment-service;inside_payment.entity.Money;MoneyType
ts-inside-payment-service;inside_payment.entity.Order;OrderStatus
