Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
POST,admin_login,102,0,2100.0,2085.1051246418674,124.63188171386719,4446.067333221436,341.0,3.714019811409967,0.0,2100,2600,3000,3200,3700,3900,4300,4300,4400,4400,4400,4400
GET,assurances,50,0,26,183.2619333267212,12.030363082885742,1916.66841506958,108.0,1.8205979467695919,0.0,27,38,55,61,990,1500,1900,1900,1900,1900,1900,1900
GET,booking_page,50,0,12,15.086455345153809,8.994817733764648,47.04594612121582,34789.0,1.8205979467695919,0.0,12,14,20,23,26,27,47,47,47,47,47,47
POST,client_login,55,0,780.0,971.5809561989524,178.38573455810547,2938.894033432007,386.6909090909091,2.002657741446551,0.0,780,1100,1200,1300,2100,2600,2900,2900,2900,2900,2900,2900
GET,contacts,50,0,96,799.8248100280762,14.001846313476562,2702.941656112671,38.0,1.8205979467695919,0.0,98,870,2000,2500,2500,2600,2700,2700,2700,2700,2700,2700
POST,create_new_user,61,0,2900.0,2948.0318984047312,209.00225639343262,6030.843019485474,297.0,2.221129495058902,0.0,2900,4100,4500,4800,5300,5500,5800,6000,6000,6000,6000,6000
GET,foodservice,50,0,240.0,1189.943470954895,87.00037002563477,6502.827167510986,1090.0,1.8205979467695919,0.0,260,330,400,760,6400,6400,6500,6500,6500,6500,6500,6500
GET,home,288,0,15,18.114743961228264,6.1168670654296875,48.99454116821289,17368.0,10.486644173392849,0.0,15,19,22,25,32,37,46,47,49,49,49,49
POST,order_page,50,0,2000.0,1633.341703414917,21.00539207458496,2248.335361480713,63.0,1.8205979467695919,0.0,2000,2000,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200
POST,reserve,62,17,6300.0,5128.5516485091175,39.99972343444824,12382.09342956543,91.19354838709677,2.257541453994294,0.6190033019016612,6300,6500,6600,6600,9000,11000,12000,12000,12000,12000,12000,12000
POST,search_ticket,446,0,1600.0,2482.873942819946,28.99789810180664,12398.486614227295,453.04484304932737,16.23973368518476,0.0,1600,3000,3800,4400,6200,7600,9300,11000,12000,12000,12000,12000
POST,set_new_contact,50,0,130.0,461.910662651062,18.996238708496094,1211.4942073822021,290.0,1.8205979467695919,0.0,170,850,980,1000,1100,1200,1200,1200,1200,1200,1200,1200
,Aggregated,1314,17,520.0,1591.0693301820681,6.1168670654296875,12398.486614227295,5405.451293759513,47.84531404110487,0.6190033019016612,520,1600,2400,3000,4700,6400,7600,9300,12000,12000,12000,12000
