"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1600854557","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600854559","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600854561","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600854563","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600854565","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600854567","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600854569","1","GET","home",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,53,53,53,17368
"1600854569","1","POST","search_ticket",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,33,28,38,38
"1600854569","1","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,39,28,53,5814
"1600854571","1","GET","home",0.00,0.00,12,12,12,12,12,12,12,12,12,12,12,12,3,0,12,25,11,53,17368
"1600854571","1","POST","search_ticket",0.00,0.00,50,50,50,50,50,50,50,50,50,50,50,50,4,0,31,36,28,49,38
"1600854571","1","","Aggregated",0.00,0.00,31,31,50,50,50,50,50,50,50,50,50,50,7,0,31,32,11,53,7465
"1600854573","1","GET","home",1.00,0.00,12,12,13,13,13,13,13,13,13,13,13,13,4,0,12,22,11,53,17368
"1600854573","1","POST","search_ticket",2.00,0.00,31,35,36,36,50,50,50,50,50,50,50,50,9,0,31,33,27,49,38
"1600854573","1","","Aggregated",3.00,0.00,30,31,35,36,50,50,50,50,50,50,50,50,13,0,30,30,11,53,5370
"1600854575","1","GET","home",1.00,0.00,13,13,13,15,15,15,15,15,15,15,15,15,6,0,13,19,11,53,17368
"1600854575","1","POST","search_ticket",2.33,0.00,30,31,35,35,36,50,50,50,50,50,50,50,14,0,29,32,27,49,38
"1600854575","1","","Aggregated",3.33,0.00,29,30,31,31,36,50,50,50,50,50,50,50,20,0,29,28,11,53,5237
"1600854577","1","GET","home",1.00,0.00,13,13,15,15,15,15,15,15,15,15,15,15,8,0,13,18,11,53,17368
"1600854577","1","POST","search_ticket",2.20,0.00,30,31,32,35,39,50,50,50,50,50,50,50,19,0,30,32,27,49,38
"1600854577","1","","Aggregated",3.20,0.00,29,30,31,32,36,39,50,50,50,50,50,50,27,0,29,27,11,53,5172
"1600854579","1","GET","home",1.00,0.00,13,13,15,15,32,32,32,32,32,32,32,32,10,0,13,18,11,53,17368
"1600854579","1","POST","search_ticket",2.38,0.00,30,31,33,35,36,39,50,50,50,50,50,50,24,0,30,31,27,49,38
"1600854579","1","","Aggregated",3.38,0.00,29,31,32,32,36,39,50,50,50,50,50,50,34,0,29,28,11,53,5135
