microservice;source;dependency
ts-basic-service;fdse.microservice.controller.BasicController;edu.fudan.common.entity.Travel
ts-basic-service;fdse.microservice.service.BasicService;edu.fudan.common.entity.Travel
ts-basic-service;fdse.microservice.service.BasicServiceImpl;edu.fudan.common.entity.PriceConfig
ts-basic-service;fdse.microservice.service.BasicServiceImpl;edu.fudan.common.entity.Route
ts-basic-service;fdse.microservice.service.BasicServiceImpl;edu.fudan.common.entity.TrainType
ts-basic-service;fdse.microservice.service.BasicServiceImpl;edu.fudan.common.entity.Travel
ts-basic-service;fdse.microservice.service.BasicServiceImpl;edu.fudan.common.entity.TravelResult
ts-basic-service;fdse.microservice.service.BasicServiceImpl;edu.fudan.common.entity.Trip
ts-basic-service;fdse.microservice.service.BasicServiceImpl;edu.fudan.common.entity.TripId
ts-basic-service;fdse.microservice.service.BasicServiceImpl;edu.fudan.common.entity.PriceConfig
ts-cancel-service;cancel.entity.GetAccountByIdResult;edu.fudan.common.entity.Account
ts-cancel-service;cancel.service.CancelServiceImpl;edu.fudan.common.entity.NotifyInfo
ts-cancel-service;cancel.service.CancelServiceImpl;edu.fudan.common.entity.Order
ts-cancel-service;cancel.service.CancelServiceImpl;edu.fudan.common.entity.OrderStatus
ts-cancel-service;cancel.service.CancelServiceImpl;edu.fudan.common.entity.SeatClass
ts-cancel-service;cancel.service.CancelServiceImpl;edu.fudan.common.entity.User
ts-cancel-service;cancel.service.CancelServiceImpl;edu.fudan.common.entity.User
ts-cancel-service;cancel.service.CancelServiceImpl;edu.fudan.common.entity.Order
ts-cancel-service;cancel.service.CancelServiceImpl;edu.fudan.common.entity.Order
ts-execute-service;execute.serivce.ExecuteServiceImpl;edu.fudan.common.entity.Order
ts-execute-service;execute.serivce.ExecuteServiceImpl;edu.fudan.common.entity.OrderStatus
ts-execute-service;execute.serivce.ExecuteServiceImpl;edu.fudan.common.entity.Order
ts-execute-service;execute.serivce.ExecuteServiceImpl;edu.fudan.common.entity.Order
ts-food-delivery-service;food_delivery.entity.FoodDeliveryOrder;edu.fudan.common.entity.Food
ts-food-delivery-service;food_delivery.entity.StationFoodStoreInfo;edu.fudan.common.entity.Food
ts-food-delivery-service;food_delivery.service.FoodDeliveryServiceImpl;edu.fudan.common.entity.Food
ts-food-service;foodsearch.entity.AllTripFood;edu.fudan.common.entity.Food
ts-food-service;foodsearch.entity.AllTripFood;edu.fudan.common.entity.StationFoodStore
ts-food-service;foodsearch.service.FoodServiceImpl;edu.fudan.common.entity.Route
ts-food-service;foodsearch.service.FoodServiceImpl;edu.fudan.common.entity.StationFoodStore
ts-food-service;foodsearch.service.FoodServiceImpl;edu.fudan.common.entity.Food
ts-food-service;foodsearch.service.FoodServiceImpl;edu.fudan.common.entity.Route
ts-food-service;foodsearch.service.FoodServiceImpl;edu.fudan.common.entity.StationFoodStore
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;edu.fudan.common.entity.Order
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;edu.fudan.common.entity.OrderStatus
ts-inside-payment-service;inside_payment.service.InsidePaymentServiceImpl;edu.fudan.common.entity.Order
ts-order-other-service;other.controller.OrderOtherController;edu.fudan.common.entity.Seat
ts-order-other-service;other.entity.Order;edu.fudan.common.entity.OrderStatus
ts-order-other-service;other.entity.Order;edu.fudan.common.entity.SeatClass
ts-order-other-service;other.init.InitData;edu.fudan.common.entity.OrderStatus
ts-order-other-service;other.init.InitData;edu.fudan.common.entity.SeatClass
ts-order-other-service;other.service.OrderOtherService;edu.fudan.common.entity.Seat
ts-order-other-service;other.service.OrderOtherServiceImpl;edu.fudan.common.entity.LeftTicketInfo
ts-order-other-service;other.service.OrderOtherServiceImpl;edu.fudan.common.entity.OrderSecurity
ts-order-other-service;other.service.OrderOtherServiceImpl;edu.fudan.common.entity.OrderStatus
ts-order-other-service;other.service.OrderOtherServiceImpl;edu.fudan.common.entity.Seat
ts-order-other-service;other.service.OrderOtherServiceImpl;edu.fudan.common.entity.SeatClass
ts-order-other-service;other.service.OrderOtherServiceImpl;edu.fudan.common.entity.SoldTicket
ts-order-other-service;other.service.OrderOtherServiceImpl;edu.fudan.common.entity.Ticket
ts-order-service;order.controller.OrderController;edu.fudan.common.entity.Seat
ts-order-service;order.entity.Order;edu.fudan.common.entity.OrderStatus
ts-order-service;order.entity.Order;edu.fudan.common.entity.SeatClass
ts-order-service;order.service.OrderService;edu.fudan.common.entity.Seat
ts-order-service;order.service.OrderServiceImpl;edu.fudan.common.entity.LeftTicketInfo
ts-order-service;order.service.OrderServiceImpl;edu.fudan.common.entity.OrderSecurity
ts-order-service;order.service.OrderServiceImpl;edu.fudan.common.entity.OrderStatus
ts-order-service;order.service.OrderServiceImpl;edu.fudan.common.entity.Seat
ts-order-service;order.service.OrderServiceImpl;edu.fudan.common.entity.SoldTicket
ts-order-service;order.service.OrderServiceImpl;edu.fudan.common.entity.Ticket
ts-preserve-other-service;preserveOther.controller.PreserveOtherController;edu.fudan.common.entity.OrderTicketsInfo
ts-preserve-other-service;preserveOther.service.PreserveOtherService;edu.fudan.common.entity.OrderTicketsInfo
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Assurance
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Consign
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Contacts
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.FoodOrder
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.NotifyInfo
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Order
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.OrderStatus
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.OrderTicketsInfo
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Route
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Seat
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.SeatClass
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Ticket
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.TrainType
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Travel
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.TravelResult
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Trip
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.TripAllDetail
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.TripAllDetailInfo
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.TripResponse
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.User
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.OrderTicketsInfo
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.TravelResult
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Ticket
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.User
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Assurance
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.TripAllDetail
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.TripAllDetailInfo
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Contacts
ts-preserve-other-service;preserveOther.service.PreserveOtherServiceImpl;edu.fudan.common.entity.Order
ts-preserve-service;preserve.controller.PreserveController;edu.fudan.common.entity.OrderTicketsInfo
ts-preserve-service;preserve.service.PreserveService;edu.fudan.common.entity.OrderTicketsInfo
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Consign
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Contacts
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.FoodOrder
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.NotifyInfo
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Order
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.OrderStatus
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.OrderTicketsInfo
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Route
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Seat
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.SeatClass
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Ticket
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.TrainType
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Travel
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.TravelResult
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Trip
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.TripAllDetail
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.TripAllDetailInfo
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.TripResponse
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.User
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.OrderTicketsInfo
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.TravelResult
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Ticket
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.User
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.TripAllDetail
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.TripAllDetailInfo
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Contacts
ts-preserve-service;preserve.service.PreserveServiceImpl;edu.fudan.common.entity.Order
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.Order
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.OrderStatus
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.PaymentDifferenceInfo
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.Route
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.Seat
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.SeatClass
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.Ticket
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.TrainType
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.Trip
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.TripAllDetail
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.TripAllDetailInfo
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.TripResponse
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.Ticket
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.TripAllDetail
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.TripAllDetailInfo
ts-rebook-service;rebook.service.RebookServiceImpl;edu.fudan.common.entity.Order
ts-route-plan-service;plan.controller.RoutePlanController;edu.fudan.common.entity.RoutePlanInfo
ts-route-plan-service;plan.service.RoutePlanService;edu.fudan.common.entity.RoutePlanInfo
ts-route-plan-service;plan.service.RoutePlanServiceImpl;edu.fudan.common.entity.Route
ts-route-plan-service;plan.service.RoutePlanServiceImpl;edu.fudan.common.entity.RoutePlanInfo
ts-route-plan-service;plan.service.RoutePlanServiceImpl;edu.fudan.common.entity.RoutePlanResultUnit
ts-route-plan-service;plan.service.RoutePlanServiceImpl;edu.fudan.common.entity.Trip
ts-route-plan-service;plan.service.RoutePlanServiceImpl;edu.fudan.common.entity.TripAllDetail
