Elapsed;User Path;Parent;Element;Elements/s;Average duration;Minimum duration;Maximum duration;Average TTFB;Minimum TTFB;Maximum TTFB;Errors;Errors/s;Median duration;UserLoad
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/colorpicker/colorpicker_hsb_h.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/images.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/themes/default/images/page-bg.jpg";"/themes/default/images/submit-incident.png";8.0;0.035;0.026;0.047;0.035;0.026;0.047;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports/submit";"/media/js/jquery.treeview.js";0.0;;;;;;;0.0;0.0;;40.0
5;-;-;"<all requests>";290.0;0.078;0.025;1.088;0.068;0.025;1.046;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/";"/media/js/global.js";10.0;0.037;0.029;0.047;0.037;0.028;0.047;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/";"/media/js/jquery.ui.min.js";10.0;0.072;0.053;0.096;0.037;0.029;0.05;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/themes/default/images/page-bg.jpg";"/themes/default/images/page-bg.jpg";8.0;0.036;0.026;0.051;0.036;0.025;0.051;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/themes/default/images/page-bg.jpg";"/media/img/themeroller/ui-bg_flat_75_ffffff_40x100.png";8.0;0.035;0.025;0.047;0.035;0.025;0.047;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/themes/default/images/page-bg.jpg";"/themes/default/images/filters-bg.jpg";8.0;0.035;0.026;0.048;0.035;0.026;0.047;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/colorpicker/colorpicker_hex.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/tooltip-arrow.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/themes/default/images/page-bg.jpg";"/media/img/themeroller/ui-bg_highlight-soft_75_cccccc_1x100.png";8.0;0.035;0.026;0.047;0.035;0.026;0.047;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/themes/default/images/page-bg.jpg";"/json/cluster";6.0;0.108;0.087;0.128;0.108;0.087;0.128;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/";"/media/css/jquery-ui-themeroller.css";10.0;0.061;0.044;0.078;0.045;0.031;0.056;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports/submit";"/media/css/jquery.treeview.css";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports/submit";"/reports/submit";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/colorpicker/colorpicker_background.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/colorpicker/colorpicker_overlay.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/media/js/OpenLayers.js";10.0;0.148;0.099;0.228;0.035;0.026;0.048;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports";"/reports";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/media/img/footer-logo.png";10.0;0.035;0.026;0.047;0.035;0.026;0.047;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/newspapers.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports/submit";"/scheduler";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/colorpicker/colorpicker_submit.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/media/js/jquery.pngFix.pack.js";10.0;0.038;0.031;0.05;0.038;0.03;0.05;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/themes/default/images/page-bg.jpg";"/media/img/openlayers/layer-switcher-minimize.png";8.0;0.036;0.027;0.053;0.036;0.027;0.053;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icon_sprite-2.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/themes/default/css/base.css";10.0;0.042;0.029;0.056;0.041;0.028;0.056;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports";"/scheduler";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/mobile-phone.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/bg_filter-accordion-title.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/media/img/icon_sprite.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/media/img/themeroller/ui-icons_454545_256x240.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/media/img/themeroller/ui-icons_888888_256x240.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/media/css/openlayers.css";10.0;0.041;0.029;0.054;0.04;0.029;0.054;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/openlayers/marker.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/colorpicker/colorpicker_rgb_b.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/media/js/selectToUISlider.jQuery.js";10.0;0.035;0.026;0.047;0.035;0.025;0.047;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports/submit";"/reports/submit";0.0;;;;;;;0.0;0.0;;40.0
5;"MyiPhoneUser_Create_report";"/api";"/api";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/media/uploads/default_map_all_1437742499_m.png";10.0;0.034;0.027;0.047;0.034;0.026;0.047;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/tick-button.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/scheduler";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/treeview-default-line.gif";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/media/uploads/default_map_all_1437742499_t.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports/geocode/";"/media/img/loading_g.gif";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/cross-button.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/themes/default/css/accordion.css";10.0;0.043;0.03;0.055;0.043;0.029;0.055;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/";"/themes/default/css/style.css";10.0;0.07;0.051;0.094;0.039;0.028;0.05;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports/submit";"/media/js/colorpicker.js";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/";"/media/js/jquery.timeago.js";10.0;0.035;0.026;0.048;0.034;0.025;0.048;0.0;0.0;0.0;40.0
5;"BrowserUser_Create_report";"/reports/submit";"/media/css/colorpicker.css";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/colorpicker/colorpicker_hsb_s.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/twitter.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/application-form.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/films.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/media/img/icon-calendar.gif";"/media/img/colorpicker/colorpicker_hsb_b.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/reports";"/themes/default/images/icons/mail.png";0.0;;;;;;;0.0;0.0;;40.0
5;"BrowserUser_Create_report";"/themes/default/images/page-bg.jpg";"/media/img/openlayers/cloud-popup-relative.png";8.0;0.036;0.026;0.055;0.036;0.025;0.055;0.0;0.0;0.0;40.0
