instance,counter_name,timestamp,response_time,response_time_max,response_time_min,requests,cpu_utilization_latest,cpu_utilization_max,cpu_utilization_min,ram_utilization_latest,ram_utilization_max,ram_utilization_min,load,provider
network interface,NIS.adjustment.DB.read,1970-01-01 00:00:00,0.01488149963950115,0.1310015249999985,2.7617999990070533e-05,2086,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:05:00,0.014565227623275237,0.1831021350000128,3.721500002029643e-05,2028,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:10:00,0.014747915221217588,0.14600829900007284,3.489599998829363e-05,2102,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:15:00,0.014238795501390034,0.11293438400002742,2.9454000014084162e-05,2158,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:20:00,0.015067588512429723,0.15063008800007086,3.2754000130807974e-05,2092,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:25:00,0.014329978473560587,0.12132519900001172,2.8222000082678278e-05,2137,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:30:00,0.014955054286911646,0.13171536599998035,2.727600008256559e-05,2147,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:35:00,0.01523981821996623,0.15148789499971824,2.9227000140963355e-05,2114,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:00:00,0.6827966878736799,2.157633476000001,0.010258397000001196,2082,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:05:00,0.6570192813173752,2.1666042239999683,0.01025839700002962,2026,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:10:00,0.643959073853276,2.1675917189999154,0.010258397999905355,2106,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:15:00,0.6360589129953662,2.174835055000017,0.010258397999905355,2157,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:20:00,0.6731583164777601,2.183569411999997,0.010258396999915929,2091,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:25:00,0.5897101821221903,2.1817006150001816,0.010257782000053341,2136,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:30:00,0.6446212816891882,2.167806169999949,0.010258396999915929,2146,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:35:00,0.6536741185082692,2.1843732519996597,0.010258397999677982,2117,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:00:00,0.014887467579590589,0.11529707699997972,2.7748000007932202e-05,10064,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:05:00,0.01446897891326142,0.11951282799998353,2.916500000083033e-05,9811,,,,,,,40,network interface
