instance,counter_name,timestamp,response_time,response_time_max,response_time_min,requests,cpu_utilization_latest,cpu_utilization_max,cpu_utilization_min,ram_utilization_latest,ram_utilization_max,ram_utilization_min,load,provider
network interface,NIS.adjustment.DB.read,1970-01-01 00:00:00,0.009900046715639755,0.05698534399999921,6.386300000116307e-05,211,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:00:30,0.01191162584057935,0.09575794199999876,8.370400000501377e-05,207,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:01:00,0.011884030758620373,0.06494283500001075,3.4040000002732995e-05,203,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:01:30,0.010726644368098318,0.053013969000005545,3.847699998971166e-05,163,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:02:00,0.011684250777779225,0.0702082589999975,0.00010390799999981937,234,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:02:30,0.011667057163367335,0.1039055029999929,0.00032601500001305794,202,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:03:00,0.010898140379465206,0.07496702800000321,4.959499997880812e-05,224,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:03:30,0.010794861485148497,0.0569402740000271,8.998399999882167e-05,202,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:04:00,0.01094367728506738,0.06085141900001645,0.00017746199998214254,221,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:04:30,0.010826053449196944,0.0621143140000413,0.00014664999997648917,187,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:05:00,0.009900276986544844,0.05981848900000841,3.4733999996205966e-05,223,,,,,,,40,network interface
network interface,NIS.adjustment.DB.read,1970-01-01 00:05:30,0.01161279208333165,0.05734917600000245,2.807700002449565e-05,240,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:00:00,0.042300987757142916,0.08421236900000029,0.010258396999997643,210,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:00:30,0.0390985232980771,0.07355072600000058,0.01025839699999409,208,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:01:00,0.038346722379310604,0.07427126700000031,0.010258397000001196,203,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:01:30,0.038273875506172735,0.07233005900000933,0.010258397000001196,162,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:02:00,0.039170810055318354,0.08188309600001276,0.010258396999972774,235,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:02:30,0.042263891400988636,0.08113123699999393,0.010258396999972774,202,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:03:00,0.03940022092857097,0.08261898099999597,0.010258397000001196,224,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:03:30,0.038296029643564086,0.07677594300000122,0.010258397000001196,202,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:04:00,0.041287155932126486,0.07475858999998762,0.01025839700002962,221,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:04:30,0.039293206181818904,0.07122762799997417,0.010258396999972774,187,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:05:00,0.04030729982959825,0.08571949200000972,0.010258396999972774,223,,,,,,,40,network interface
network interface,NIS.adjustment.PROC.adjustmentPROC,1970-01-01 00:05:30,0.03987216326666735,0.08748437499997408,0.010258396999972774,240,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:00:00,0.011271435308401702,0.09643017100000152,2.8658000001513532e-05,976,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:00:30,0.01058311072756407,0.06627491300000088,0.00010980199999721664,936,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:01:00,0.010630456630905736,0.08036987399999873,6.872100000521186e-05,1016,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:01:30,0.01094041301101117,0.0752786309999891,2.795499999308504e-05,999,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:02:00,0.01103588092922106,0.07690869600000383,3.609699999174154e-05,989,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:02:30,0.010598402249750411,0.06725454799999397,2.824599999939892e-05,1001,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:03:00,0.010730636143446375,0.06165817500001936,3.943199999412173e-05,969,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:03:30,0.011515759923958532,0.08496496699999058,3.249900001378592e-05,960,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:04:00,0.010903239061205083,0.08902660600000445,4.435299999272502e-05,1013,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:04:30,0.011042670725274817,0.06672342699999945,8.385000000998842e-05,1001,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:05:00,0.011224973203780183,0.06782579699995495,3.3421000011912845e-05,952,,,,,,,40,network interface
network interface,NIS.enquiry.DB.read,1970-01-01 00:05:30,0.011352370891351372,0.09188730300002136,3.0023000022083582e-05,948,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:00:00,0.061123281653688466,0.3229314240000001,0.003160541999999822,976,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:00:30,0.06302004517967918,0.28690008000000233,0.005530735000000675,935,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:01:00,0.0599571697748277,0.3549520679999887,0.0020651959999895553,1017,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:01:30,0.06201764436108306,0.3633594410000001,0.0034268050000036965,997,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:02:00,0.06038074463995959,0.2932542209999838,0.002902186000000029,986,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:02:30,0.06094088834890651,0.2860905950000188,0.004255459000006567,1006,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:03:00,0.059017372817149055,0.2436504130000117,0.0031351320000112537,968,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:03:30,0.061345809044838204,0.3336917880000101,0.0021035590000053612,959,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:04:00,0.06638158568379367,0.330903056000011,0.0037113369999701717,1012,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:04:30,0.06258287766633236,0.3115972669999678,0.0029645099999697773,1001,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:05:00,0.06065228202620654,0.2354182219999643,0.003981054000007589,954,,,,,,,40,network interface
network interface,NIS.enquiry.PROC.enquiry,1970-01-01 00:05:30,0.06101900731118132,0.2839498399999911,0.0031218600000215697,948,,,,,,,40,network interface
network interface,NIS.networkControl.PROC.control,1970-01-01 00:00:00,0.09877487760808265,0.2157515399999994,0.051527636999999515,1064,,,,,,,40,network interface
network interface,NIS.networkControl.PROC.control,1970-01-01 00:00:30,0.0975350734332373,0.20016015699999912,0.05198033900000354,1041,,,,,,,40,network interface
network interface,NIS.networkControl.PROC.control,1970-01-01 00:01:00,0.09725362152843846,0.20972783199999867,0.051895478000005824,967,,,,,,,40,network interface
network interface,NIS.networkControl.PROC.control,1970-01-01 00:01:30,0.09716760879506639,0.20576741600000048,0.051740686000002256,1054,,,,,,,40,network interface
network interface,NIS.networkControl.PROC.control,1970-01-01 00:02:00,0.09589497550862075,0.21792637400000106,0.051739164999986535,928,,,,,,,40,network interface
